period,cave,num,name,cat1,cat2.1,cat2.2,,path,allhex,HEX1,HEX2,HEX3,HEX4,HEX5,COLOR1,COLOR2,COLOR3,COLOR4,COLOR5,Murals images
flourishing Tang 盛唐,217,87,34淨土楼阁,经变画 Buddhist Sutra Art,Life,Buddhism ,49,"../public/2st/87 淨土楼阁.jpeg',","#554c49,#c4ad9d,#7e5848,#8b8d8c,#a96e53",#554c49,#c4ad9d,#7e5848,#8b8d8c,#a96e53,,,,,,
flourishing Tang 盛唐,217,88,35淨土楼阁,经变画 Buddhist Sutra Art,Life,Buddhism ,50,"../public/2st/88 淨土楼阁.jpeg',","#baaea3,#6c6664,#7a9599,#8f6250,#463d3a",#baaea3,#6c6664,#7a9599,#8f6250,#463d3a,,,,,,
flourishing Tang 盛唐,217,89,36未生怨,经变画 Buddhist Sutra Art,War,Life,51,"../public/2st/89 未生怨.jpeg',","#cab79e,#644c3d,#638b78,#3b2b22,#937c63",#cab79e,#644c3d,#638b78,#3b2b22,#937c63,,,,,,
flourishing Tang 盛唐,217,90,37十六观部分,经变画 Buddhist Sutra Art,Life,Buddhism ,52,"../public/2st/90 十六观部分.jpeg',","#c4bba9,#79a9a2,#4f3b2e,#b59975,#9d5836",#c4bba9,#79a9a2,#4f3b2e,#b59975,#9d5836,,,,,,
flourishing Tang 盛唐,225,91,1龛顶西方淨土变,经变画 Buddhist Sutra Art,Buddhism,,53,"../public/2st/91 龛顶西方淨土变.jpeg',","#cfbb9b,#65523e,#968a7d,#ab6d45,#6d8c6c",#cfbb9b,#65523e,#968a7d,#ab6d45,#6d8c6c,,,,,,
flourishing Tang 盛唐,225,92,2佛弟子与项光,佛像画Buddhist painting,Buddhism,,64,"../public/2st/92 佛弟子与项光 .jpeg',","#9a5837,#ccb69d,#654b39,#938b85,#b78f61",#9a5837,#ccb69d,#654b39,#938b85,#b78f61,,,,,,
flourishing Tang 盛唐,320,93,1观无量寿经变,经变画 Buddhist Sutra Art,Buddhism,,54,"../public/2st/93 观无量寿经变.jpeg',","#bdb196,#342a22,#7f9682,#ac8d69,#746653",#bdb196,#342a22,#7f9682,#ac8d69,#746653,,,,,,
flourishing Tang 盛唐,320,94,2观世音菩萨,佛像画Buddhist painting,Buddhism,,65,"../public/2st/94 观世音菩萨 .jpeg',","#d3cdb7,#383c3b,#68a193,#666969,#af9071",#d3cdb7,#383c3b,#68a193,#666969,#af9071,,,,,,
flourishing Tang 盛唐,320,95,3大势至菩萨,佛像画Buddhist painting,Buddhism,,66,"../public/2st/95 大势至菩萨.jpeg',","#382921,#c7bcac,#74a791,#a28060,#6f6a60",#382921,#c7bcac,#74a791,#a28060,#6f6a60,,,,,,
flourishing Tang 盛唐,320,96,4日想观,山水风景Landscape painting,Buddhism,Life,4,"../public/2st/96 日想观 .jpeg',","#cbbba2,#332a23,#89b7a8,#bb855f,#60867f",#cbbba2,#332a23,#89b7a8,#bb855f,#60867f,,,,,,
flourishing Tang 盛唐,320,97,5未生怨中之山水,山水风景Landscape painting,Life,Buddhism ,5,"../public/2st/97 未生怨中之山水 .jpeg',","#c3a88b,#6aa2a0,#b77657,#697072,#b3b7af",#c3a88b,#6aa2a0,#b77657,#697072,#b3b7af,,,,,,
flourishing Tang 盛唐,320,98,6思惟菩萨,佛像画Buddhist painting,Buddhism,,67,"../public/2st/98 思惟菩萨.jpeg',","#c5c0c2,#505048,#c6a68a,#5a8d89,#b17d56",#c5c0c2,#505048,#c6a68a,#5a8d89,#b17d56,,,,,,
flourishing Tang 盛唐,320,99,7飞天,佛像画Buddhist painting,Feitian,Buddhism ,68,"../public/2st/99 飞天.jpeg',","#c3c3b7,#53a18a,#4b453a,#a27650,#7c8e8d",#c3c3b7,#53a18a,#4b453a,#a27650,#7c8e8d,,,,,,
flourishing Tang 盛唐,320,100,8飞天,佛像画Buddhist painting,Feitian,Buddhism ,69,"../public/2st/100 飞天.jpeg',","#665f4d,#a0aca5,#58a48a,#ac7a50,#2a2820",#665f4d,#a0aca5,#58a48a,#ac7a50,#2a2820,,,,,,
flourishing Tang 盛唐,320,101,9飞天,佛像画Buddhist painting,Feitian,Buddhism ,70,"../public/2st/101 飞天.jpeg',","#42392d,#7aa88f,#a96f49,#c1bb9e,#776750",#42392d,#7aa88f,#a96f49,#c1bb9e,#776750,,,,,,
flourishing Tang 盛唐,320,102,10持花供养菩萨,佛像画Buddhist painting,Buddhism,,71,"../public/2st/102 持花供养菩萨.jpeg',","#6b7572,#b9bab0,#53ab9d,#a57d5a,#3d3d35",#6b7572,#b9bab0,#53ab9d,#a57d5a,#3d3d35,,,,,,
flourishing Tang 盛唐,172,103,阿弥陀淨土变中之菩萨,佛像画Buddhist painting,Buddhism,,72,"../public/2st/103 阿弥陀淨土变中之菩萨.jpeg',","#cdbb8e,#7e7559,#363428,#66aa84,#b28357",#cdbb8e,#7e7559,#363428,#66aa84,#b28357,,,,,,
flourishing Tang 盛唐,172,104,二菩萨,佛像画Buddhist painting,Buddhism,,73,"../public/2st/104 二菩萨.jpeg',","#97957a,#53483c,#509d86,#c1b090,#9e5c41",#97957a,#53483c,#509d86,#c1b090,#9e5c41,,,,,,
flourishing Tang 盛唐,172,105,阁楼飞天,山水风景Landscape painting,Feitian,Life,6,"../public/2st/105 阁楼飞天.jpeg',","#6b6d6b,#b5bfae,#58aca7,#473838,#7a5446",#6b6d6b,#b5bfae,#58aca7,#473838,#7a5446,,,,,,
flourishing Tang 盛唐,172,106,观无量寿经变,经变画 Buddhist Sutra Art,Buddhism,,55,"../public/2st/106 观无量寿经变.jpeg',","#b6b4a6,#6e6f62,#619d87,#403529,#a18563",#b6b4a6,#6e6f62,#619d87,#403529,#a18563,,,,,,
flourishing Tang 盛唐,172,107,十六观中之日想观,山水风景Landscape painting,Life,Buddhism ,7,"../public/2st/107 十六观中之日想观.jpeg',","#c3b9aa,#745a4a,#af8267,#7c9483,#412c24",#c3b9aa,#745a4a,#af8267,#7c9483,#412c24,,,,,,
flourishing Tang 盛唐,172,108,十六观中之日想观,山水风景Landscape painting,Life,Buddhism ,8,"../public/2st/108 十六观中之日想观 .jpeg',","#b9a98a,#90a08d,#342b22,#6ea890,#766955",#b9a98a,#90a08d,#342b22,#6ea890,#766955,,,,,,
flourishing Tang 盛唐,172,109,未生怨,故事画 Story painting,Life,Buddhism ,62,"../public/2st/109 未生怨.jpeg',","#4f473f,#bbac9a,#221d1b,#778e89,#5b616c",#4f473f,#bbac9a,#221d1b,#778e89,#5b616c,,,,,,
flourishing Tang 盛唐,172,110,未生怨1,故事画 Story painting,Life,Buddhism ,63,"../public/2st/110 未生怨1.jpeg',","#563a33,#c4baaa,#779888,#2d1815,#846d61",#563a33,#c4baaa,#779888,#2d1815,#846d61,,,,,,
flourishing Tang 盛唐,172,111,文殊变中之山水,山水风景Landscape painting,Life,,9,"../public/2st/111 文殊变中之山水.jpeg',","#2c2b2e,#b8aa99,#609b89,#c08b5c,#676362",#2c2b2e,#b8aa99,#609b89,#c08b5c,#676362,,,,,,
flourishing Tang 盛唐,31,112,普贤赴会,佛像画Buddhist painting,Buddhism,,74,"../public/2st/112 普贤赴会 .jpeg',","#b89262,#8f532f,#543f2e,#829a87,#c9af8d",#b89262,#8f532f,#543f2e,#829a87,#c9af8d,,,,,,
flourishing Tang 盛唐,31,113,文殊赴会,佛像画Buddhist painting,Buddhism,,75,"../public/2st/113 文殊赴会 .jpeg',","#b89d8a,#503e39,#7d9893,#8c695a,#c6b4a8",#b89d8a,#503e39,#7d9893,#8c695a,#c6b4a8,,,,,,
flourishing Tang 盛唐,148,114,二菩萨,佛像画Buddhist painting,Buddhism,,76,"../public/2st/114 二菩萨.jpeg',","#79676a,#97c3bb,#d1c5b5,#3c2824,#b57857",#79676a,#97c3bb,#d1c5b5,#3c2824,#b57857,,,,,,
flourishing Tang 盛唐,148,115,观无量净土变,经变画 Buddhist Sutra Art,Buddhism,,56,"../public/2st/115 观无量净土变.jpeg',","#74776e,#66aa91,#4a3728,#beac8c,#9c7755",#74776e,#66aa91,#4a3728,#beac8c,#9c7755,,,,,,
flourishing Tang 盛唐,148,116,欢喜藏摩尼宝胜佛,佛像画Buddhist painting,Buddhism,,77,"../public/2st/116 欢喜藏摩尼宝胜佛.jpeg',","#5c4e48,#7ab3aa,#c6b299,#302826,#917c6f",#5c4e48,#7ab3aa,#c6b299,#302826,#917c6f,,,,,,
flourishing Tang 盛唐,148,117,均分舍利,故事画 Story painting,Life,Buddhism ,64,"../public/2st/117 均分舍利.jpeg',","#cec7ae,#50afae,#84847c,#9b5e3f,#55453d",#cec7ae,#50afae,#84847c,#9b5e3f,#55453d,,,,,,
flourishing Tang 盛唐,148,118,弥勒上生下生经变,故事画 Story painting,Buddhism,Life,65,"../public/2st/118 弥勒上生生经变.jpeg',","#c5bba2,#66ad9b,#8a543d,#bc9670,#412019",#c5bba2,#66ad9b,#8a543d,#bc9670,#412019,,,,,,
flourishing Tang 盛唐,148,119,入殓荼毗,故事画 Story painting,Life,Buddhism ,66,"../public/2st/119 入殓荼毗.jpeg',","#c6bba7,#759a9c,#866a52,#c5a578,#50494d",#c6bba7,#759a9c,#866a52,#c5a578,#50494d,,,,,,
flourishing Tang 盛唐,148,120,守护舍利,故事画 Story painting,Life,Buddhism ,67,"../public/2st/120 守护舍利.jpeg',","#ae9d7e,#4e3d38,#75aca1,#894931,#b6b8ac",#ae9d7e,#4e3d38,#75aca1,#894931,#b6b8ac,,,,,,
flourishing Tang 盛唐,148,121,众生最后供餐,故事画 Story painting,Buddhism,Life,68,"../public/2st/121 众生最后供餐.jpeg',","#a69378,#4c3d37,#5f9999,#8a583c,#b9b09f",#a69378,#4c3d37,#5f9999,#8a583c,#b9b09f,,,,,,
flourishing Tang 盛唐,148,122,诸国王求舍利,故事画 Story painting,Politics/History,Buddhism ,69,"../public/2st/122 诸国王求舍利.jpeg',","#baaaa3,#7ea5ae,#403532,#ab906e,#74533e",#baaaa3,#7ea5ae,#403532,#ab906e,#74533e,,,,,,
flourishing Tang 盛唐,194,123,各族王子听法图,故事画 Story painting,Politics/History,Buddhism ,70,"../public/2st/123 各族王子听法图.jpeg',","#b1afa5,#563024,#b69f7b,#685b65,#90573c",#b1afa5,#563024,#b69f7b,#685b65,#90573c,,,,,,
flourishing Tang 盛唐,194,124,帝王听法,故事画 Story painting,Politics/History,Buddhism ,71,"../public/2st/124 帝王听法 .jpeg',","#ada28b,#704832,#8a7a62,#3e3c34,#acaea9",#ada28b,#704832,#8a7a62,#3e3c34,#acaea9,,,,,,
flourishing Tang 盛唐,199,125,大势至菩萨,佛像画Buddhist painting,Buddhism,,78,"../public/2st/125 大势至菩萨.jpeg',","#c7bcae,#3f2b24,#ad9070,#738b7b,#915839",#c7bcae,#3f2b24,#ad9070,#738b7b,#915839,,,,,,
flourishing Tang 盛唐,444,126,着甲胄骑士,故事画 Story painting,War,Life,72,"../public/2st/126 着甲胄骑士.jpeg',","#bfae95,#5d4a44,#859583,#b89871,#956954",#bfae95,#5d4a44,#859583,#b89871,#956954,,,,,,
Middle Tang Dynasty,44,1,观无量寿经变,经变画 Buddhist Sutra Art,Buddhism,,57,"../public/3zt/1 观无量寿经变.jpeg',","#c5bbb6,#9e7b6a,#6a857d,#5d3e39,#5f5b71",#c5bbb6,#9e7b6a,#6a857d,#5d3e39,#5f5b71,,,,,,
Middle Tang Dynasty,44,2,千佛,佛像画Buddhist painting,Buddhism,,79,"../public/3zt/2 千佛.jpeg',","#988373,#5c7e7f,#834031,#cbbeaf,#584a4a",#988373,#5c7e7f,#834031,#cbbeaf,#584a4a,,,,,,
Middle Tang Dynasty,44,3,说法图,经变画 Buddhist Sutra Art,Buddhism,,58,"../public/3zt/3 说法图.jpeg',","#ab9884,#588a7c,#d7cec4,#9d674a,#63463c",#ab9884,#588a7c,#d7cec4,#9d674a,#63463c,,,,,,
Middle Tang Dynasty,112,4,观无量寿经变,经变画 Buddhist Sutra Art,Buddhism,,59,"../public/3zt/4 1-观无量寿经变.jpeg',","#ae907a,#362b2d,#d9cbb3,#725249,#6d9280",#ae907a,#362b2d,#d9cbb3,#725249,#6d9280,,,,,,
Middle Tang Dynasty,112,5,观无量寿经变,经变画 Buddhist Sutra Art,Buddhism,,60,"../public/3zt/5 2-观无量寿经变.jpeg',","#9e7a63,#784c3e,#647e63,#c3a48c,#492f2d",#9e7a63,#784c3e,#647e63,#c3a48c,#492f2d,,,,,,
Middle Tang Dynasty,112,6,局部,经变画 Buddhist Sutra Art,Buddhism,,61,"../public/3zt/6 3-局部.jpeg',","#839484,#422c30,#c5a17c,#dfd1c2,#846154",#839484,#422c30,#c5a17c,#dfd1c2,#846154,,,,,,
Middle Tang Dynasty,112,7,舞乐,经变画 Buddhist Sutra Art,Dance,Music,62,"../public/3zt/7 4-舞乐.jpeg',","#c8a584,#482f33,#ddd3c8,#7c9787,#926453",#c8a584,#482f33,#ddd3c8,#7c9787,#926453,,,,,,
Middle Tang Dynasty,112,8,反弹琵琶,经变画 Buddhist Sutra Art,Dance,Music,63,"../public/3zt/8 5-反弹琵琶舞.jpeg',","#bf9978,#3a282c,#d4c5bf,#728d82,#846455",#bf9978,#3a282c,#d4c5bf,#728d82,#846455,,,,,,
Middle Tang Dynasty,112,9,箜篌妓,经变画 Buddhist Sutra Art,Music,,64,"../public/3zt/9 6-箜篌伎.jpeg',","#c59672,#412c31,#6e8c7c,#ddcab1,#8c6050",#c59672,#412c31,#6e8c7c,#ddcab1,#8c6050,,,,,,
Middle Tang Dynasty,112,10,金刚经变,经变画 Buddhist Sutra Art,Buddhism,,65,"../public/3zt/10 7-金刚经变.jpeg',","#b79479,#856355,#839386,#d7c0a7,#493836",#b79479,#856355,#839386,#d7c0a7,#493836,,,,,,
Middle Tang Dynasty,112,11,金刚经变山水,山水风景Landscape painting,Buddhism,,10,"../public/3zt/11 8-金刚经变山水.jpeg',","#a77f69,#6e4d45,#d7bea5,#809284,#383030",#a77f69,#6e4d45,#d7bea5,#809284,#383030,,,,,,
Middle Tang Dynasty,112,12,金刚之乐队,经变画 Buddhist Sutra Art,Buddhism,Music,66,"../public/3zt/12 9-金刚之乐队.jpeg',","#cfa072,#3b2228,#d9c6ba,#8f5443,#7a8870",#cfa072,#3b2228,#d9c6ba,#8f5443,#7a8870,,,,,,
Middle Tang Dynasty,112,13,报恩经变,经变画 Buddhist Sutra Art,Buddhism,,67,"../public/3zt/13 10-报恩经变.jpeg',","#a5826e,#d2c1b1,#554441,#88978b,#7e493e",#a5826e,#d2c1b1,#554441,#88978b,#7e493e,,,,,,
Middle Tang Dynasty,112,14,鹿母夫人故事,故事画 Story painting,Buddhism,,73,"../public/3zt/14 11-鹿母夫人故事.jpeg',","#b7896a,#72917a,#413433,#8b4137,#b8b497",#b7896a,#72917a,#413433,#8b4137,#b8b497,,,,,,
Middle Tang Dynasty,112,15,鹿母故事,故事画 Story painting,Buddhism,,74,"../public/3zt/15 12-鹿母故事.jpeg',","#b48969,#61876e,#423232,#c7c5a9,#874337",#b48969,#61876e,#423232,#c7c5a9,#874337,,,,,,
Middle Tang Dynasty,112,16,报恩经变之伎乐,经变画 Buddhist Sutra Art,Music,Buddhism ,68,"../public/3zt/16 13-报恩经变之伎乐.jpeg',","#b38c6f,#795147,#d4ccc7,#6b8373,#3d272b",#b38c6f,#795147,#d4ccc7,#6b8373,#3d272b,,,,,,
Middle Tang Dynasty,112,17,报恩经变之舞妓,经变画 Buddhist Sutra Art,Dance,Buddhism ,69,"../public/3zt/17 14-报恩经变之舞伎.jpeg',","#6a8474,#7a463c,#beb3a7,#a47c63,#41312f",#6a8474,#7a463c,#beb3a7,#a47c63,#41312f,,,,,,
Middle Tang Dynasty,112,18,药师经变,经变画 Buddhist Sutra Art,Buddhism,,70,"../public/3zt/18 15-药师经变.jpeg',","#a48871,#d9cfbc,#493c3a,#799887,#824b43",#a48871,#d9cfbc,#493c3a,#799887,#824b43,,,,,,
Middle Tang Dynasty,112,19,药师经变,经变画 Buddhist Sutra Art,Buddhism,,71,"../public/3zt/19 16-药师经变.jpeg',","#be9e82,#503838,#d4c6ba,#788e7c,#936355",#be9e82,#503838,#d4c6ba,#788e7c,#936355,,,,,,
Middle Tang Dynasty,112,20,药师经变之舞妓,经变画 Buddhist Sutra Art,Dance,Buddhism ,72,"../public/3zt/20 17-药师经变之舞妓.jpeg',","#81443c,#d7c8bf,#697868,#af8368,#462d2f",#81443c,#d7c8bf,#697868,#af8368,#462d2f,,,,,,
Middle Tang Dynasty,112,21,观音经变,经变画 Buddhist Sutra Art,Buddhism,,73,"../public/3zt/21 18-观音经变.jpeg',","#cfa882,#6a493c,#d3c6b2,#302325,#917c66",#cfa882,#6a493c,#d3c6b2,#302325,#917c66,,,,,,
Middle Tang Dynasty,154,22,药师经变,经变画 Buddhist Sutra Art,Buddhism,,74,"../public/3zt/22 1-药师经变.jpeg',","#c3ab8f,#8d5950,#dcd5cb,#4b3437,#879684",#c3ab8f,#8d5950,#dcd5cb,#4b3437,#879684,,,,,,
Middle Tang Dynasty,154,23,金光明经变,经变画 Buddhist Sutra Art,Buddhism,,75,"../public/3zt/23 2-金光明经变 154.jpeg',","#d1b7a1,#4a3537,#9d8574,#8da69f,#945b4c",#d1b7a1,#4a3537,#9d8574,#8da69f,#945b4c,,,,,,
Middle Tang Dynasty,154,24,报恩经变,经变画 Buddhist Sutra Art,Buddhism,,76,"../public/3zt/24 3-报恩经变.jpeg',","#998575,#c7bcab,#759688,#8b584a,#5d4c4d",#998575,#c7bcab,#759688,#8b584a,#5d4c4d,,,,,,
Middle Tang Dynasty,154,25,舞乐,经变画 Buddhist Sutra Art,Music,Buddhism ,77,"../public/3zt/25 4-舞乐.jpeg',","#9a7e6e,#d0c4b1,#8ca091,#574a52,#855244",#9a7e6e,#d0c4b1,#8ca091,#574a52,#855244,,,,,,
Middle Tang Dynasty,154,26,供养菩萨,佛像画Buddhist painting,Buddhism,,80,"../public/3zt/26 5-供养菩萨.jpeg',","#cebea9,#5f3e3c,#728a7f,#3a435d,#8e523e",#cebea9,#5f3e3c,#728a7f,#3a435d,#8e523e,,,,,,
Middle Tang Dynasty,154,27,舞妓,经变画 Buddhist Sutra Art,Dance,Buddhism ,78,"../public/3zt/27 6-舞妓.jpeg',","#96796b,#cdc6b6,#3c3033,#79938a,#8d4d3b",#96796b,#cdc6b6,#3c3033,#79938a,#8d4d3b,,,,,,
Middle Tang Dynasty,154,28,乐伎,经变画 Buddhist Sutra Art,Music,Buddhism ,79,"../public/3zt/28 7-乐妓.jpeg',","#cbb6a6,#9e7367,#483f49,#8b958e,#8e493f",#cbb6a6,#9e7367,#483f49,#8b958e,#8e493f,,,,,,
Middle Tang Dynasty,154,29,树下弹琴,故事画 Story painting,Life,Music,75,"../public/3zt/29 8-树下弹琴.jpeg',","#b5987d,#221a1b,#929f97,#8b5641,#667c89",#b5987d,#221a1b,#929f97,#8b5641,#667c89,,,,,,
Middle Tang Dynasty,158,30,东南方净土变,经变画 Buddhist Sutra Art,Buddhism,,80,"../public/3zt/30 1-东南方净土变.jpeg',","#979182,#302627,#cbc0b4,#995c4a,#62665c",#979182,#302627,#cbc0b4,#995c4a,#62665c,,,,,,
Middle Tang Dynasty,158,31,天请问经变胁侍菩萨,佛像画Buddhist painting,Buddhism,,81,"../public/3zt/31 2-天请问经变胁侍菩萨.jpeg',","#d5c8b6,#211c20,#ac7b58,#6c836d,#6f3c34",#d5c8b6,#211c20,#ac7b58,#6c836d,#6f3c34,,,,,,
Middle Tang Dynasty,158,32,天请问经变菩萨,佛像画Buddhist painting,Buddhism,,82,"../public/3zt/32 3-天请问经变菩萨.jpeg',","#d5cec6,#5c7365,#3d2c30,#8c5545,#a79784",#d5cec6,#5c7365,#3d2c30,#8c5545,#a79784,,,,,,
Middle Tang Dynasty,158,33,菩萨,佛像画Buddhist painting,Buddhism,,83,"../public/3zt/33 4-菩萨 .jpeg',","#ddd5c9,#302222,#6c7c67,#8f5541,#b5a28d",#ddd5c9,#302222,#6c7c67,#8f5541,#b5a28d,,,,,,
Middle Tang Dynasty,158,34,菩萨,佛像画Buddhist painting,Buddhism,,84,"../public/3zt/34 5-菩萨.jpeg',","#cfbdaa,#281c1e,#6e7b67,#873f30,#b88865",#cfbdaa,#281c1e,#6e7b67,#873f30,#b88865,,,,,,
Middle Tang Dynasty,158,35,金光明经变之梵天,经变画 Buddhist Sutra Art,Buddhism,,81,"../public/3zt/35 6-金光明经变之梵天.jpeg',","#bda48e,#1f1d1d,#8e4b33,#e0d6cd,#6f7a67",#bda48e,#1f1d1d,#8e4b33,#e0d6cd,#6f7a67,,,,,,
Middle Tang Dynasty,158,36,金光明经变,经变画 Buddhist Sutra Art,Buddhism,,82,"../public/3zt/36 7-金光明经变.jpeg',","#c2b39e,#935543,#3a3130,#e4e0d5,#81907f",#c2b39e,#935543,#3a3130,#e4e0d5,#81907f,,,,,,
Middle Tang Dynasty,158,37,涅槃经变之菩萨和弟子,佛像画Buddhist painting,Buddhism,,85,"../public/3zt/37 8-涅槃经变之菩萨和弟子.jpeg',","#e0cfbe,#886d5d,#5a3531,#bd9e87,#b5664b",#e0cfbe,#886d5d,#5a3531,#bd9e87,#b5664b,,,,,,
Middle Tang Dynasty,158,38,涅槃经变之伽叶奔丧,经变画 Buddhist Sutra Art,Buddhism,,83,"../public/3zt/38 9-涅槃经变之伽叶奔丧.jpeg',","#b89d7f,#322523,#9b6244,#68704e,#dbcdbe",#b89d7f,#322523,#9b6244,#68704e,#dbcdbe,,,,,,
Middle Tang Dynasty,158,39,飞天,,Feitian,Buddhism ,,"../public/3zt/39 10-飞天.jpeg',","#e1d0c5,#7a7d65,#322325,#c99d7b,#884d3c",#e1d0c5,#7a7d65,#322325,#c99d7b,#884d3c,,,,,,
Middle Tang Dynasty,158,40,飞天,,Feitian,Buddhism ,,"../public/3zt/40 11-飞天.jpeg',","#ccbcb5,#392c2b,#767669,#b9927a,#9b573d",#ccbcb5,#392c2b,#767669,#b9927a,#9b573d,,,,,,
Middle Tang Dynasty,158,41,飞天,,Feitian,Buddhism ,,"../public/3zt/41 12-飞天.jpeg',","#5e7e79,#a79084,#403739,#85453a,#d8cdc8",#5e7e79,#a79084,#403739,#85453a,#d8cdc8,,,,,,
Middle Tang Dynasty,158,42,各族王子,故事画 Story painting,Politics/History,Buddhism ,76,"../public/3zt/42 13-各族王子.jpeg',","#b9a28e,#372626,#9a5f47,#e0d3ca,#736859",#b9a28e,#372626,#9a5f47,#e0d3ca,#736859,,,,,,
Middle Tang Dynasty,159,43,1-观无量寿经变,经变画 Buddhist Sutra Art,Buddhism,,84,"../public/3zt/43 1-观无量寿经变.jpeg',","#ad8d7b,#d3d1cd,#453736,#728e83,#8f5548",#ad8d7b,#d3d1cd,#453736,#728e83,#8f5548,,,,,,
Middle Tang Dynasty,159,44,2-对舞,经变画 Buddhist Sutra Art,Dance,Buddhism ,85,"../public/3zt/44 2-对舞.jpeg',","#9f6d52,#daccbe,#322522,#487c6a,#57687d",#9f6d52,#daccbe,#322522,#487c6a,#57687d,,,,,,
Middle Tang Dynasty,159,45,3-舞乐,经变画 Buddhist Sutra Art,Dance,Music,86,"../public/3zt/45 3-舞乐.jpeg',","#5a7867,#805d52,#c4b4a2,#47383d,#965243",#5a7867,#805d52,#c4b4a2,#47383d,#965243,,,,,,
Middle Tang Dynasty,159,46,4-法华经变,经变画 Buddhist Sutra Art,Buddhism,,87,"../public/3zt/46 4-法华经变.jpeg',","#dfdbd3,#8f715d,#557a64,#423531,#a9a398",#dfdbd3,#8f715d,#557a64,#423531,#a9a398,,,,,,
Middle Tang Dynasty,159,47,5-弥勒经变,经变画 Buddhist Sutra Art,Buddhism,,88,"../public/3zt/47 5-弥勒经变.jpeg',","#e2cfbf,#ae8f7d,#45393d,#65786b,#82483b",#e2cfbf,#ae8f7d,#45393d,#65786b,#82483b,,,,,,
Middle Tang Dynasty,159,48,6-普贤变,经变画 Buddhist Sutra Art,Buddhism,,89,"../public/3zt/48 6-普贤变.jpeg',","#e2d7d1,#403737,#678172,#875b4d,#ac9d8d",#e2d7d1,#403737,#678172,#875b4d,#ac9d8d,,,,,,
Middle Tang Dynasty,159,49,7-文殊变,经变画 Buddhist Sutra Art,Buddhism,,90,"../public/3zt/49 7-文殊变.jpeg',","#dac9bf,#577b62,#835548,#958b88,#483536",#dac9bf,#577b62,#835548,#958b88,#483536,,,,,,
Middle Tang Dynasty,159,50,8-文殊变之帝释天,故事画 Story painting,Buddhism,,77,"../public/3zt/50 8-文殊变之帝释天.jpeg',","#e3d6ce,#3a2b2f,#b6a28e,#915747,#737464",#e3d6ce,#3a2b2f,#b6a28e,#915747,#737464,,,,,,
Middle Tang Dynasty,159,51,9-乐队,经变画 Buddhist Sutra Art,Music,Buddhism ,91,"../public/3zt/51 9-乐队.jpeg',","#b8a890,#362d31,#905544,#ded5cd,#7a7c69",#b8a890,#362d31,#905544,#ded5cd,#7a7c69,,,,,,
Middle Tang Dynasty,159,52,10-五台山,山水风景Landscape painting,Life,Buddhism ,11,"../public/3zt/52 10-五台山.jpeg',","#e2d5cc,#6c8065,#392a2a,#c09e81,#886350",#e2d5cc,#6c8065,#392a2a,#c09e81,#886350,,,,,,
Middle Tang Dynasty,159,53,11-五台山,山水风景Landscape painting,Life,Buddhism ,12,"../public/3zt/53 11-五台山.jpeg',","#beb19e,#70795f,#3e322f,#bc8a66,#e3dad6",#beb19e,#70795f,#3e322f,#bc8a66,#e3dad6,,,,,,
Middle Tang Dynasty,159,54,12-维摩诘经变之佛国图,经变画 Buddhist Sutra Art,Buddhism,,92,"../public/3zt/54 12-维摩诘经变之佛国图.jpeg',","#ac8e7c,#d2c3ba,#4d3b3c,#73887b,#845c54",#ac8e7c,#d2c3ba,#4d3b3c,#73887b,#845c54,,,,,,
Middle Tang Dynasty,159,55,13-不思议品,经变画 Buddhist Sutra Art,Buddhism,,93,"../public/3zt/55 13-不思议品.jpeg',","#c3b3a7,#6a7b6b,#7f4639,#e0d4d2,#a7876f",#c3b3a7,#6a7b6b,#7f4639,#e0d4d2,#a7876f,,,,,,
Middle Tang Dynasty,159,56,14-维摩诘,经变画 Buddhist Sutra Art,Buddhism,,94,"../public/3zt/56 14-维摩诘.jpeg',","#dbcbbd,#9e5541,#3a2f2d,#909481,#a87f67",#dbcbbd,#9e5541,#3a2f2d,#909481,#a87f67,,,,,,
Middle Tang Dynasty,159,57,15-吐蕃赞普礼佛,故事画 Story painting,Politics/History,Buddhism ,78,"../public/3zt/57 15-吐蕃赞普礼佛.jpeg',","#bda08b,#2c1f21,#95513e,#7f927b,#e8d5c6",#bda08b,#2c1f21,#95513e,#7f927b,#e8d5c6,,,,,,
Middle Tang Dynasty,159,58,16-各族王子,故事画 Story painting,Politics/History,Buddhism ,79,"../public/3zt/58 16-各族王子.jpeg',","#d4cdc1,#332728,#a1866e,#895646,#869788",#d4cdc1,#332728,#a1866e,#895646,#869788,,,,,,
Middle Tang Dynasty,159,59,17-动物,,Life,Buddhism ,,"../public/3zt/59 17-动物.jpeg',","#ded2cc,#926753,#a3503b,#636b58,#b5a493",#ded2cc,#926753,#a3503b,#636b58,#b5a493,,,,,,
Middle Tang Dynasty,159,60,18-生活,故事画 Story painting,Life,Buddhism ,80,"../public/3zt/60 18-生活.jpeg',","#dcd1ca,#97715b,#626958,#b2a292,#6e372d",#dcd1ca,#97715b,#626958,#b2a292,#6e372d,,,,,,
Middle Tang Dynasty,159,61,19-维摩诘之帝王,故事画 Story painting,Politics/History,Buddhism ,81,"../public/3zt/61 19-维摩诘之帝王.jpeg',","#9d8778,#553e3d,#82989b,#4f587a,#d1cac3",#9d8778,#553e3d,#82989b,#4f587a,#d1cac3,,,,,,
